中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,33 ms,367 Mbps,47001 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,6 ms,1728 Mbps,221184 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,16 ms,920 Mbps,117760 kB/s
34.82.76.253,443,34.168.69.6,US,Seattle,隧道,24 ms,928 Mbps,118784 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,5 ms,445 Mbps,57036 kB/s
35.230.79.26,443,35.212.237.223,US,Seattle,隧道,22 ms,920 Mbps,117760 kB/s
35.197.23.75,443,35.212.237.223,US,Seattle,隧道,28 ms,551 Mbps,70553 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,61 ms,380 Mbps,48640 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,122 ms,42 Mbps,5482 kB/s
129.159.84.71,443,129.159.84.71,US,Newark,中转,76 ms,6 Mbps,832 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,162 ms,124 Mbps,15974 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,115 ms,45 Mbps,5785 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,108 ms,63 Mbps,8140 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,112 ms,202 Mbps,25907 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,115 ms,41 Mbps,5290 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,163 ms,105 Mbps,13516 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,135 ms,40 Mbps,5132 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,165 ms,128 Mbps,16486 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,149 ms,41 Mbps,5338 kB/s
8.219.151.64,443,8.222.210.246,SG,Singapore,隧道,181 ms,33 Mbps,4307 kB/s
8.219.201.245,443,8.219.66.146,SG,Singapore,隧道,170 ms,85 Mbps,10956 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,157 ms,37 Mbps,4830 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,182 ms,12 Mbps,1652 kB/s
